n-gram	frequency
e	0.1209652247516903
t	0.08938126949659495
a	0.08551690673195275
o	0.07467265410810447
i	0.0732511860723129
n	0.07172184876283856
s	0.06728203117491646
r	0.0633271013284023
h	0.04955707280570641
l	0.04206464329306453
d	0.03871183735737418
c	0.03164435380900101
u	0.026815809362304373
m	0.025263217360184446
f	0.021815103969122528
g	0.020863354250923158
p	0.020661660788966266
w	0.018253618950416498
y	0.017213606152473405
b	0.016047959168228293
v	0.01059346274662571
k	0.008086975227142329
j	0.002197788956104563
x	0.0019135048594134572
z	0.001137563214703838
q	0.0010402453014323196
