n-gram	frequency
e	0.14474053671321077
s	0.07978894286180531
a	0.07604414551392277
n	0.0731670903089472
i	0.07205677871248108
t	0.07111275680226985
r	0.068639312997444
l	0.058617530782879554
u	0.055532097298970844
o	0.053902448738478825
d	0.040813016855471396
c	0.033877807142408366
p	0.029802354019702857
m	0.02780770709956823
é	0.024260864815246218
v	0.012931999693077774
g	0.011845122265211018
f	0.01116547287643642
b	0.009632947072853141
h	0.009255890955975263
q	0.008451882181148904
x	0.004325348764950148
à	0.004287465246284887
è	0.0041587734640118924
y	0.0034384842028204786
j	0.0029944531632627967
k	0.0015744698683494561
ê	0.0012735042560338666
z	0.0009988427237143938
w	0.0007805401948193585
ç	0.0005323479172526499
ô	0.0004909785229939744
â	0.0004761816177109679
î	0.0003939590003081404
ù	0.00024083167747360364
œ	0.00020831977954015115
û	0.00017219812494579772
ï	0.00013416663722770744
ë	3.6193918550386697e-05
ü	3.081541553705199e-05
æ	4.52165896322572e-06
ÿ	8.981377392708621e-07
